2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1.28E+12,1.41E+12,1.56E+12,1.71E+12,1.88E+12,2.12E+12,2.41E+12,2.80E+12,3.10E+12,3.39E+12,3.72E+12,4.07E+12,4.40E+12,4.77E+12,5.16E+12,5.62E+12,6.07E+12,6.57E+12,7.10E+12,7.61E+12,7.76E+12,8.39E+12
11.22310673,11.1704832,10.64425792,10.60484575,10.43222269,10.61467144,10.38546416,9.975483433,9.975483433,9.975483433,9.975483433,9.991916343,9.991916343,9.991916343,9.991916343,9.991916343,9.991916343,9.991916343,9.991916343,9.991916343,9.991916343,
14.38888766,14.18018459,14.33608977,12.84190647,11.96731659,12.14925887,11.84589816,11.80563498,11.80563498,11.80563498,11.80563498,11.82508276,11.82508276,11.82508276,11.82508276,11.82508276,11.82508276,11.82508276,11.82508276,11.82508276,11.82508276,
9.473841434,8.491270534,9.894748775,12.66723649,11.14592233,12.12839131,13.45069554,15.05071426,9.838989907,10.29280498,12.6835957,10.6886752,8.363640405,7.987214292,7.155565422,5.926763763,6.03148306,5.868289508,5.792406827,4.874620602,2.464845945,8.224769267
,,,,31.97506997,32.09392433,32.45232806,32.38335312,32.1194116,31.59623809,31.61282168,32.06479119,31.52857787,30.67100807,30.39644421,28.95167058,28.06944224,28.10893687,27.84101115,26.77472171,26.28516911,27.4377471
,,,,5.17E+12,6.01E+12,7.12E+12,8.75E+12,1.03E+13,1.10E+13,1.30E+13,1.56E+13,1.70E+13,1.82E+13,1.96E+13,1.99E+13,2.10E+13,2.34E+13,2.56E+13,2.64E+13,2.66E+13,3.14E+13
5.11E+11,5.24E+11,5.38E+11,5.51E+11,5.85E+11,6.14E+11,6.44E+11,6.66E+11,7.01E+11,7.29E+11,7.60E+11,7.91E+11,8.27E+11,8.58E+11,8.93E+11,9.28E+11,9.58E+11,9.96E+11,1.03E+12,1.06E+12,1.10E+12,1.17E+12
39.41101485,38.52735928,42.74740363,51.803988,59.50552422,62.20789287,64.4788839,62.19336348,57.61271534,45.18487038,50.71707766,50.74090459,48.26752237,46.74437558,44.90521595,39.46416934,36.89441502,37.63241324,37.5657841,35.89009603,34.75429578,37.46895824
28786199301,28086220298,37382671264,35821129066,51174382540,1.25E+11,2.09E+11,3.08E+11,3.49E+11,2.20E+11,2.22E+11,1.81E+11,2.32E+11,2.35E+11,2.22E+11,3.59E+11,2.55E+11,2.16E+11,91486670479,1.33E+11,3.55E+11,4.62E+11
4.32E+12,5.24E+12,5.92E+12,7.33E+12,8.74E+12,9.67E+12,1.12E+13,1.31E+13,1.49E+13,1.80E+13,2.09E+13,2.28E+13,2.45E+13,2.68E+13,2.88E+13,2.98E+13,3.19E+13,3.40E+13,3.63E+13,3.77E+13,3.93E+13,4.03E+13
4.07E+11,4.76E+11,5.32E+11,6.58E+11,8.18E+11,9.22E+11,1.10E+12,1.44E+12,1.94E+12,2.31E+12,2.83E+12,3.52E+12,3.94E+12,4.44E+12,4.80E+12,4.78E+12,4.79E+12,5.30E+12,6.09E+12,6.18E+12,6.37E+12,7.60E+12
32.57741759,33.45352637,35.05836605,38.25768533,39.52966373,39.42581557,38.7254881,37.89246834,39.06117809,43.81157102,43.92930477,43.86136146,44.24983199,44.51876555,43.8560937,42.09432828,41.55236492,41.8611853,42.84303114,42.82258435,42.48608133,41.87408305
3.27E+12,3.71E+12,4.27E+12,5.26E+12,6.40E+12,7.39E+12,8.50E+12,1.02E+13,1.25E+13,1.53E+13,1.81E+13,2.14E+13,2.38E+13,2.64E+13,2.82E+13,2.90E+13,3.10E+13,3.48E+13,3.94E+13,4.22E+13,4.31E+13,4.79E+13
20.8936972,20.31214574,22.64474567,26.98075653,31.06133758,33.82985757,36.03502555,35.43479853,32.60271402,24.74985594,27.18533272,26.56818935,25.49252222,24.59925444,23.51006091,21.35407988,19.58438005,19.69227699,19.11210354,18.40999232,18.58613924,20.03776186
2.10E+12,2.25E+12,2.76E+12,3.71E+12,5.03E+12,6.34E+12,7.91E+12,9.57E+12,1.04E+13,8.63E+12,1.12E+13,1.30E+13,1.37E+13,1.46E+13,1.51E+13,1.47E+13,1.46E+13,1.64E+13,1.76E+13,1.82E+13,1.88E+13,2.29E+13
2.27E+12,2.53E+12,2.80E+12,3.14E+12,3.52E+12,3.93E+12,4.41E+12,5.07E+12,5.60E+12,6.44E+12,7.24E+12,8.01E+12,8.65E+12,9.36E+12,1.01E+13,1.08E+13,1.16E+13,1.24E+13,1.33E+13,1.40E+13,1.42E+13,1.52E+13
63.57078828,61.93324901,60.98344325,58.02199431,55.23624791,54.3845409,52.57249548,50.99628774,49.77349454,50.08027204,48.91336167,50.15929328,51.1426133,51.71714701,52.52494301,53.99089043,55.03873751,54.86760843,55.05768886,56.01857304,55.33044189,54.29198657
6.37E+12,6.87E+12,7.42E+12,7.97E+12,8.94E+12,1.02E+13,1.15E+13,1.38E+13,1.59E+13,1.75E+13,2.02E+13,2.45E+13,2.75E+13,3.07E+13,3.38E+13,3.72E+13,4.11E+13,4.57E+13,5.06E+13,5.53E+13,5.61E+13,6.21E+13
1.26E+12,1.39E+12,1.54E+12,1.67E+12,1.85E+12,2.12E+12,2.41E+12,2.80E+12,3.15E+12,3.46E+12,3.91E+12,4.61E+12,5.20E+12,5.54E+12,5.99E+12,6.46E+12,7.04E+12,7.73E+12,8.57E+12,9.27E+12,9.16E+12,1.08E+13
11.59031309,6.984927191,9.127184652,6.15899084,8.086469388,11.02462194,10.21709709,13.77615817,8.78305858,9.991438636,11.59870415,15.04692702,9.205282296,8.863002685,9.194508216,8.703140973,8.93698558,9.535066892,8.321404869,6.432470866,-2.500593904,13.34336125
5.66E+11,6.10E+11,6.60E+11,7.09E+11,7.94E+11,9.05E+11,1.04E+12,1.29E+12,1.62E+12,1.80E+12,2.09E+12,2.64E+12,3.02E+12,3.43E+12,3.85E+12,4.18E+12,4.34E+12,4.74E+12,5.35E+12,5.60E+12,5.61E+12,6.80E+12
3.705033504,3.629112422,3.54630289,3.506686021,3.545872644,3.490440224,3.437132649,3.502768821,3.573140241,3.559778535,3.613549286,3.697517395,3.665483475,3.837654352,3.944785595,4.027166843,4.103111744,4.146642208,4.13175479,4.175868526,4.224784126,4.074801476
8.2784,8.2771,8.277,8.277,8.2768,8.1943,7.9734,7.6075,6.9487,6.8314,6.7703,6.4615,6.3123,6.1958,6.1434,6.2275,6.6445,6.7588,6.616,6.9084,6.9008,6.449
6311381238,8492313080,12984445070,17448942294,22898188613,23865499352,28067501500,37102286297,43155952495,31658747085,40637736340,24679129906,3435007369,-8712340690,1435606097,-12746150491,-9583924650,-11889709423,-2015425699,10226269710,8275607746,16501314910
36.17754145,37.81054585,39.28245166,42.67615638,45.7925451,46.28091339,48.35084402,50.16161798,51.46759237,50.45742556,51.54749944,49.69647933,48.77866012,47.76683415,47.55544345,45.63534574,44.60181963,44.96396488,44.68200057,43.89601514,44.28098055,45.30236433
2880,3160,3500,3910,4420,5020,5830,6830,7630,8290,9220,10200,11140,11780,12500,12840,13420,14220,15430,16610,17050,19160
7845.91608,8591.905685,9409.591912,10600.4541,12454.17339,14266.78341,16706.72106,20540.79203,24250.05186,26135.75734,30675.97939,35939.04952,39678.99688,43142.89569,46971.27636,49684.11422,53516.31397,59514.16506,65245.90478,69881.34943,71253.01538,80237.3191
1.71E+13,1.85E+13,2.02E+13,2.23E+13,2.47E+13,2.73E+13,3.10E+13,3.55E+13,3.91E+13,4.25E+13,4.68E+13,5.11E+13,5.55E+13,5.94E+13,6.44E+13,6.86E+13,7.32E+13,7.86E+13,8.37E+13,8.88E+13,9.03E+13,9.75E+13
9.91E+12,1.09E+13,1.20E+13,1.37E+13,1.61E+13,1.86E+13,2.19E+13,2.71E+13,3.21E+13,3.48E+13,4.10E+13,4.83E+13,5.37E+13,5.88E+13,6.44E+13,6.86E+13,7.43E+13,8.31E+13,9.15E+13,9.84E+13,1.01E+14,1.13E+14
36.42921172,38.06675099,39.01655675,41.97800569,44.76375209,45.6154591,47.42750452,49.00371226,50.22650546,49.91972796,51.08663833,49.84070672,48.8573867,48.28285299,47.47505699,46.00910957,44.96126249,45.13239157,44.94231114,43.98142696,44.66955811,45.70801343
2.009828726,1.321447104,1.265001037,1.323281492,1.66799803,2.259828458,2.277610903,1.863085302,2.036609641,0.951194724,1.242985368,1.527262219,1.329714354,1.109988233,0.897272155,0.335516273,0.255695802,0.332513893,0.433930309,0.382788796,0.25510718,
7.638597676,7.551654832,8.404879975,9.354776644,9.46155877,10.74137513,12.09330469,13.6358205,9.090280101,8.855947676,10.10283262,8.953816042,7.134523777,7.050734134,6.750760316,6.420736477,6.238215448,6.301863101,6.251700556,5.575316863,1.996619014,8.01334526
0.074049909,0.068789285,0.061653952,0.075772767,0.095711769,0.106944258,0.12067739,0.118587678,0.131818455,0.12749366,0.102094925,0.118775025,0.116903853,0.10428543,0.119231663,0.138499735,0.088906854,0.099156602,0.171518863,0.136047972,0.108149251,
8.490093406,8.335733478,9.13363079,10.03803048,10.11362138,11.39459181,12.72095567,14.23086093,9.650678919,9.398725633,10.63587106,9.550832179,7.863736449,7.766150098,7.425763656,7.041328879,6.848762205,6.947200793,6.749773833,5.950500754,2.239701857,8.109792581
1.21E+12,1.34E+12,1.47E+12,1.66E+12,1.96E+12,2.29E+12,2.75E+12,3.55E+12,4.59E+12,5.10E+12,6.09E+12,7.55E+12,8.53E+12,9.57E+12,1.05E+13,1.11E+13,1.12E+13,1.23E+13,1.39E+13,1.43E+13,1.47E+13,1.77E+13
48114779607,47474034170,39074408768,27532508748,48455574053,-34188080835,-16238748383,-41786387079,1.16E+11,86659158183,3.61E+11,3.83E+11,-45995254355,-3.38E+11,-2.98E+11,-3.24E+11,41455129085,3.05E+11,4.51E+11,-1.97E+11,-1.13E+12,3.04E+11
2.062792614,2.047049457,0.602099078,2.603177719,6.951992681,3.903744269,3.926549397,7.749686493,7.795346037,-0.209533361,6.881380253,8.075684467,2.331217576,2.163370027,1.031063688,-0.002944094,1.407346027,4.232681975,3.499747636,1.286700408,0.491448371,4.371786898
2.03E+11,2.50E+11,3.03E+11,3.90E+11,4.85E+11,5.57E+11,7.16E+11,9.77E+11,1.25E+12,1.43E+12,1.62E+12,1.70E+12,1.99E+12,2.08E+12,2.30E+12,2.21E+12,2.17E+12,2.45E+12,2.57E+12,2.50E+12,2.48E+12,
